name,map,operators,weapons,description,code,start_date
Steel Wave,House Rework,Ace and Melusi,[],"Don't miss a beat with Operation Steel Wave. Discover the new Ace ram and its water-based breaching device S.E.L.M.A. which embodies the explosive power of the demolition machine and the care of the humanitarian worker dedicated to saving human lives. On the other side of the action, don't be surprised if you feel slowed down even without having tripped on the barbed wire. This is the Banshee supersonic defense device, which alerted Melusi to your presence. Coming with them, a new version of the completely reworked House map.",Y5S2,2020-06-16
Shadow Legacy,Chalet Rework,Zero and Tachanka rework,"['SC3000K', 'DP27']","This season emerge from the shadows with Operation Shadow Legacy. Try Zero and his Argus Launcher, and see things they don't want you to see. Explore the reworked Chalet map and discover all the new features introduced with Operation Shadow Legacy.",Y5S3,2020-09-10
Neon Dawn,Skyscraper Rework,Aruni,[],"In the light, one can find both comfort and adversity. Operator Aruni and his gate Surya are waiting for a drone, an operator or his gadgets to pass through them. Defenders can move freely, while attackers are advised to move with extreme caution. Furthermore, a new rework of Skyscraper is about to see the light.",Y5S4,2020-12-01
Crimson Heist,Border Rework,Flores,['GONNE-6'],"In life, you have to dedicate yourself to the things that make you happy. For operator Flores and his RCE-Ratero, this means stealing from the corrupt to help his fellow citizens. Plus, you'll be able to explore the new rework of the Border map.",Y6S1,2021-03-16
North Star,Favela Rework,Thunderbird,[],"Guided by spirits, Thunderbird uses her ability to protect and heal. He can place Kóna stations at different points on the map and operators in the immediate vicinity can absorb their charges to heal themselves. Kóna Stations can overheal and even revive a KO operator. Be careful, though: they can be used by both allies and enemies! Additionally, the Favelas map has been revolutionized by a major rework.",Y6S2,2021-06-14
Crystal Guard,"Coastline, Clubhouse and Bank small rework",Osa,[],"Innovation comes naturally to Osa as he strengthens the attacking team's position. He can place Talon-8 transparent shields on doors, door and window frames, or hold it in his hand while moving across the map. Talon-8 shields are bulletproof but transparent, allowing you to see from both sides, so be careful when placing them. Furthermore, Banca, Club House and Costa have undergone small remodeling for greater comfort.",Y6S3,2021-09-07
High Calibre,Outback Rework,Thorn,[],"Thorn, a leader of the Republic of Ireland Public Safety Service, is ready to trap the team of attackers. She is always ready to use the Razorbloom Charge, a special gadget that once activated triggers a timed detonation. Thorn can be used in the reworked version of Outback, to prevent attackers from defusing the objective!",Y6S4,2021-11-30
Demon Veil,Emerald Plains,Azami,[],"Demon Veil introduces exciting new content such as Azami, a new defender from Japan, a brand new map* and a permanent game mode: Team Deathmatch. Azami's Kiba Barrier can block lines of fire and entry points, creating new defense mechanics in the blink of an eye. Attacker Reselection will also make its debut this season with an additional strategic option to the setup phase, a balance change for Goyo, Console Game Replay, and more.",Y7S1,2022-03-15
Vector Glare,Close Quarter (TDM Only),Sens,['POF-9'],"Distract the enemy's attention and gain the upper hand with Sens, the new operator from Belgium's Special Forces Group. Sens is equipped with the brand new POF9 assault rifle and the R.O.U. Projection System ability, which allows you to obstruct lines of fire and change the fate of a fight. Operation Vector Glare also introduces the Firing Range and a new Team Deathmatch map set in Greece, offering new locations to hone your skills and put them to the test.",Y7S2,2022-06-14
Brutal Swarm,Stadium Bravo,Grim,[],"This season paves the way for our newest attacker from Singapore: Grim. Check out his gadget, the Kawan Hive Launcher: without recharging and with a low rate of fire, the Hive Launcher aids intelligence gathering and area inhibition. Stadium will now be a permanent map where you can challenge your opponents in ranked matches. This season also introduces major balance updates that will shake things up.",Y7S3,2022-09-14
Solar Raid,Nighthaven Labs,Solis,[],"Meet Solis, our new intelligence defender, and his SPEC-IO Electrosensor. This season marks the arrival of long-overdue improvements, including cross-play, cross-platform progression, and Reputation Score (beta). On top of that, Operation Solar Raid includes a brand new competitive map, Nighthaven Labs, a completely revamped Battle Pass, Ranked Mode 2.0, and more.",Y7S4,2022-12-07
Commanding Force,None,Brava,[],"Sabotage enemy drones and make them yours with Brava, our new Brazilian attacker joining Siege! His Kludge drone disables enemy surveillance systems and converts the technology to his own benefit. Year 8 Season 1 also brings exciting new updates, such as the new immersive reloading system that rewards tactical play, a penalty for using mouse and keyboard on consoles, further balance changes, measures to combat bad behavior and so on.",Y8S1,2023-03-07
Dread Factor,Consulate Rework,Fenrir,[],"This season introduces Fenrir, a neuroscience expert armed with mines that, when triggered, cause terror in his enemies and impair their sight. Year 8 Season 2 also introduces exciting new updates, such as a complete rework of the Consulate map, a new aiming lane in the Firing Range that allows you to customize the speed, movement and quantity of targets, as well as the scenario list Permanent arcade featuring tons of favorite modes like Headshots and Golden Gun!",Y8S2,2023-30-05
Heavy Mettle,None,"Ram, Frost and Grim rework",[],"Discover new breakthrough strategies with the powerful South Korean Ram equipped with the BU-GI automatic ram, a mini tank capable of sowing destruction in its path. Year 8 Season 3 brings exciting new updates to Siege playlists, such as Quick Play 2.0 and a rework of Unranked mode (now called Standard), to provide a smoother gameplay experience. Heavy Mettle will also introduce a new Player Commendation System, allowing you to rate other players based on your gaming experience together, and a brand new Arcade mode in the form of Weapon Roulette, allowing you to adapt your arsenal on the fly!",Y8S3,2023-28-09
Deep Freeze,Lair,Tubarao,[],"Stay calm and control the battle with the new Portuguese operator, Tubarão. It features Zoto containers, throwable devices that stick to any surface and freeze the area of effect, temporarily disabling any gadgets affected by the ice. Enemies entering the frozen area are slowed and leave footprints, revealing their location to Tubarão. Deep Freeze also introduces a brand new Ranked map, Lair, Marketplace item trading (beta), full rollout of the reputation system, balance updates, and controller remapping.",Y8S4,2023-12-06
Deadly Omen,None,Deimos,[],"Operation Deadly Omen marks a historic moment: the first evil operator, Deimos, joins the roster. He stalks enemies with his DeathMARK gadget, a flying probe that reveals both the intended target and Deimos' location until one is eliminated. Year 9 Season 1 also introduces a major update to accessories and ADS and a revamped shield mechanic to enhance Siege's tactical gameplay. Additionally, Deadly Omen introduces improvements for player protection, an inventory management menu to optimize your gear, and much more.",Y9S1,2024-03-12
New Blood,None,Recruit Remaster,[],"Operation New Blood introduces the first Operator Remaster in Siege, and who better to inaugurate this event than the iconic Recruit. Meet Striker, the attacker recruit, and Sentry, the defender recruit, who will be unlocked for all players and in all modes, including Ranked. All Battle Pass owners will receive an Operator Voucher that they can redeem for any Operator. Season 2 also brings the new Rainbow Six Siege Membership which gives players a monthly drop of exclusive content and full access to the Battle Pass. In addition, Operator balance updates for Fenrir and Solis as well as the Marketplace full release, and a Map preset feature will be introduced.",Y9S2,2024-06-11
Twin Shells,None,Skopòs,"['PCX-33', 'P229']","Operation Twin Shells introduces a game-changing operator. Meet Skopós, the tactical mastermind deploying modern robotics technology to outmaneuver her foes. Operation Twin Shells also brings enhanced player protection with improved encryption, the ingame tournament Siege Cup (Beta) offering exclusive rewards, and increased player comfort through a redesigned After Action Report and the new Drone Boost mechanic for faster intel gathering. Additionally, the Versus AI 2.0 update will allow new players to defend against AI and new items will be added to the Marketplace.",Y9S3,2024-09-10
Collision Point,None,Operator Remaster: Blackbeard,[],"This season brings exciting new features to Rainbow Six Siege, including crossplay between PC and console, strengthened player protection with the Cheater Match Cancellation system and Mousetrap V2, balancing update for shields, a remaster of Blackbeard and the full release of the Siege Cup tournament.",Y9S4,2024-12-03
Prep Phase,None,Rauora,['Reaper MK2'],"Take control of the battle with Operation Prep Phase. The new Assault Operator, Rauora, lets you provide cover and opens up new tactical paths to victory with her unique D.O.M. Panels gadget. Season one also includes the full release of the Reputation System and the Dynamic Matchmaking update.",Y10S1,2025-03-04
DayBreak,none,Operator Remaster: Clash,[],"Operation Daybreak marks a historical moment for Rainbow Six Siege with the launch of Siege X. Get ready to explore modernized maps, plan new strategies with destructible ingredients and advanced rappel, play the new Dual Front game mode and so much more! The new season also introduces the Clash Operator Remaster, and a set of new anti-cheat and balancing updates.",Y10S2,2025-06-10
High Stakes,"Modernized versions of Consulate, Nighthaven Labs and Lair",Denari,"['P226 Mk 25', 'Glaive-12']","Operation High Stakes brings the heat! Get ready for Denari, the first new R6 Siege X Operator joining the ranks with a powerful gadget and a new secondary weapon. Season 3 also introduces the modernized versions of Consulate, Nighthaven Labs and Lair, alongside R6 ShieldGuard updates, Operator balancing updates and more",Y10S3,2025-09-02
Tenfold Pursuit,"Fortress, Skyscraper and Theme park modernizations",Thatcher Rework,['PMR90A2'],"Operation Tenfold Pursuit marks the 10-year anniversary, bringing a torrent of change with it. Thatcher gears up to meet the moment and upgrades his arsenal, first by gaining access to the PMR90A2 marksman rifle, becoming the first Operator to have access to four main weapon options. Next, his favorite EMP gets upgraded with the Electronic Gear Scanner Disruptor (E.G.S. Disruptor), which allows him to search for and deactivate electronic gadgets in the area. Read the Y10S4 Patch Notes below for full details.",Y10S4,2025-12-02
Silent Hunt,"Coastline Rework, Villa Rework and Oregon Rework",Solid Snake,['Tacit .45'],"With few options left, Sam Fisher calls in a legendary infiltration expert to join the fight — none other than Solid Snake. Attacking from the shadows, Solid Snake brings the covert TACIT .45 sidearm as well as his main gadget, the Soliton Radar Mk. III, able to display a map of the area and any hostiles present. Snake is also able to acquire secondary gadgets from fallen Operators with his On-Site Procurement (OSP) training.",Y11S1,2026-03-01
